Sample Number,Species,Island,Individual ID,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex
57,Gentoo penguin (Pygoscelis papua),Biscoe,N16A1,43.8,13.9,208,4300,FEMALE
58,Gentoo penguin (Pygoscelis papua),Biscoe,N16A2,45.5,15,220,5000,MALE
59,Gentoo penguin (Pygoscelis papua),Biscoe,N17A1,43.2,14.5,208,4450,FEMALE
60,Gentoo penguin (Pygoscelis papua),Biscoe,N17A2,50.4,15.3,224,5550,MALE
61,Gentoo penguin (Pygoscelis papua),Biscoe,N18A1,45.3,13.8,208,4200,FEMALE
62,Gentoo penguin (Pygoscelis papua),Biscoe,N18A2,46.2,14.9,221,5300,MALE
63,Gentoo penguin (Pygoscelis papua),Biscoe,N19A1,45.7,13.9,214,4400,FEMALE
64,Gentoo penguin (Pygoscelis papua),Biscoe,N19A2,54.3,15.7,231,5650,MALE
65,Gentoo penguin (Pygoscelis papua),Biscoe,N20A1,45.8,14.2,219,4700,FEMALE
66,Gentoo penguin (Pygoscelis papua),Biscoe,N20A2,49.8,16.8,230,5700,MALE
67,Gentoo penguin (Pygoscelis papua),Biscoe,N51A1,46.2,14.4,214,4650,FEMALE
68,Gentoo penguin (Pygoscelis papua),Biscoe,N51A2,49.5,16.2,229,5800,MALE
69,Gentoo penguin (Pygoscelis papua),Biscoe,N53A1,43.5,14.2,220,4700,FEMALE
70,Gentoo penguin (Pygoscelis papua),Biscoe,N53A2,50.7,15,223,5550,MALE
71,Gentoo penguin (Pygoscelis papua),Biscoe,N54A1,47.7,15,216,4750,FEMALE
72,Gentoo penguin (Pygoscelis papua),Biscoe,N54A2,46.4,15.6,221,5000,MALE
73,Gentoo penguin (Pygoscelis papua),Biscoe,N55A1,48.2,15.6,221,5100,MALE
74,Gentoo penguin (Pygoscelis papua),Biscoe,N55A2,46.5,14.8,217,5200,FEMALE
75,Gentoo penguin (Pygoscelis papua),Biscoe,N56A1,46.4,15,216,4700,FEMALE
76,Gentoo penguin (Pygoscelis papua),Biscoe,N56A2,48.6,16,230,5800,MALE
77,Gentoo penguin (Pygoscelis papua),Biscoe,N58A1,47.5,14.2,209,4600,FEMALE
78,Gentoo penguin (Pygoscelis papua),Biscoe,N58A2,51.1,16.3,220,6000,MALE
79,Gentoo penguin (Pygoscelis papua),Biscoe,N60A1,45.2,13.8,215,4750,FEMALE
80,Gentoo penguin (Pygoscelis papua),Biscoe,N60A2,45.2,16.4,223,5950,MALE
81,Gentoo penguin (Pygoscelis papua),Biscoe,N1A1,49.1,14.5,212,4625,FEMALE
82,Gentoo penguin (Pygoscelis papua),Biscoe,N1A2,52.5,15.6,221,5450,MALE
83,Gentoo penguin (Pygoscelis papua),Biscoe,N6A1,47.4,14.6,212,4725,FEMALE
84,Gentoo penguin (Pygoscelis papua),Biscoe,N6A2,50,15.9,224,5350,MALE
85,Gentoo penguin (Pygoscelis papua),Biscoe,N8A1,44.9,13.8,212,4750,FEMALE
86,Gentoo penguin (Pygoscelis papua),Biscoe,N8A2,50.8,17.3,228,5600,MALE
87,Gentoo penguin (Pygoscelis papua),Biscoe,N13A1,43.4,14.4,218,4600,FEMALE
88,Gentoo penguin (Pygoscelis papua),Biscoe,N13A2,51.3,14.2,218,5300,MALE
89,Gentoo penguin (Pygoscelis papua),Biscoe,N14A1,47.5,14,212,4875,FEMALE
90,Gentoo penguin (Pygoscelis papua),Biscoe,N14A2,52.1,17,230,5550,MALE
91,Gentoo penguin (Pygoscelis papua),Biscoe,N15A1,47.5,15,218,4950,FEMALE
92,Gentoo penguin (Pygoscelis papua),Biscoe,N15A2,52.2,17.1,228,5400,MALE
93,Gentoo penguin (Pygoscelis papua),Biscoe,N18A1,45.5,14.5,212,4750,FEMALE
94,Gentoo penguin (Pygoscelis papua),Biscoe,N18A2,49.5,16.1,224,5650,MALE
95,Gentoo penguin (Pygoscelis papua),Biscoe,N19A1,44.5,14.7,214,4850,FEMALE
96,Gentoo penguin (Pygoscelis papua),Biscoe,N19A2,50.8,15.7,226,5200,MALE
97,Gentoo penguin (Pygoscelis papua),Biscoe,N20A1,49.4,15.8,216,4925,MALE
98,Gentoo penguin (Pygoscelis papua),Biscoe,N20A2,46.9,14.6,222,4875,FEMALE
99,Gentoo penguin (Pygoscelis papua),Biscoe,N21A1,48.4,14.4,203,4625,FEMALE
100,Gentoo penguin (Pygoscelis papua),Biscoe,N21A2,51.1,16.5,225,5250,MALE
101,Gentoo penguin (Pygoscelis papua),Biscoe,N22A1,48.5,15,219,4850,FEMALE
102,Gentoo penguin (Pygoscelis papua),Biscoe,N22A2,55.9,17,228,5600,MALE
103,Gentoo penguin (Pygoscelis papua),Biscoe,N23A1,47.2,15.5,215,4975,FEMALE
104,Gentoo penguin (Pygoscelis papua),Biscoe,N23A2,49.1,15,228,5500,MALE
105,Gentoo penguin (Pygoscelis papua),Biscoe,N24A1,47.3,13.8,216,4725,FEMALE
106,Gentoo penguin (Pygoscelis papua),Biscoe,N24A2,46.8,16.1,215,5500,MALE
107,Gentoo penguin (Pygoscelis papua),Biscoe,N28A1,41.7,14.7,210,4700,FEMALE
108,Gentoo penguin (Pygoscelis papua),Biscoe,N28A2,53.4,15.8,219,5500,MALE
109,Gentoo penguin (Pygoscelis papua),Biscoe,N29A1,43.3,14,208,4575,FEMALE
110,Gentoo penguin (Pygoscelis papua),Biscoe,N29A2,48.1,15.1,209,5500,MALE
111,Gentoo penguin (Pygoscelis papua),Biscoe,N32A1,50.5,15.2,216,5000,FEMALE
112,Gentoo penguin (Pygoscelis papua),Biscoe,N32A2,49.8,15.9,229,5950,MALE
113,Gentoo penguin (Pygoscelis papua),Biscoe,N34A1,43.5,15.2,213,4650,FEMALE
114,Gentoo penguin (Pygoscelis papua),Biscoe,N34A2,51.5,16.3,230,5500,MALE
115,Gentoo penguin (Pygoscelis papua),Biscoe,N35A1,46.2,14.1,217,4375,FEMALE
116,Gentoo penguin (Pygoscelis papua),Biscoe,N35A2,55.1,16,230,5850,MALE
117,Gentoo penguin (Pygoscelis papua),Biscoe,N36A1,44.5,15.7,217,4875,MALE
118,Gentoo penguin (Pygoscelis papua),Biscoe,N36A2,48.8,16.2,222,6000,MALE
119,Gentoo penguin (Pygoscelis papua),Biscoe,N38A1,47.2,13.7,214,4925,FEMALE
121,Gentoo penguin (Pygoscelis papua),Biscoe,N39A1,46.8,14.3,215,4850,FEMALE
122,Gentoo penguin (Pygoscelis papua),Biscoe,N39A2,50.4,15.7,222,5750,MALE
123,Gentoo penguin (Pygoscelis papua),Biscoe,N43A1,45.2,14.8,212,5200,FEMALE
124,Gentoo penguin (Pygoscelis papua),Biscoe,N43A2,49.9,16.1,213,5400,MALE
